date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:55	10109/10109	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://fornet.net.br/)
18:59:56	454026/454026	---M--	200	added ('OK')	application/pdf	date:Thu,%2027%20May%202021%2013:51:32%20GMT	https://fornet.net.br/contratocomodato2021.pdf	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/contratocomodato2021.pdf	(from https://fornet.net.br/)
18:59:56	1241/1241	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/css/dynamic-visibility.min.css?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/css/dynamic-visibility.min30ad.css	(from https://fornet.net.br/)
18:59:56	1351084/1351084	---M--	200	added ('OK')	application/pdf	date:Thu,%2027%20May%202021%2013:51:42%20GMT	https://fornet.net.br/contratoscm2021.pdf	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/contratoscm2021.pdf	(from https://fornet.net.br/)
18:59:56	23739/23739	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/css/acf-repeater.min.css?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/css/acf-repeater.min30ad.css	(from https://fornet.net.br/)
18:59:56	37829/37829	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/lib/datatables/datatables.min.css?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/lib/datatables/datatables.min30ad.css	(from https://fornet.net.br/)
18:59:56	25202/25202	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2002:38:32%20GMT	https://fornet.net.br/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from https://fornet.net.br/)
18:59:57	5629/5629	---M--	200	added ('OK')	application/javascript	date:Sat,%2013%20Jun%202020%2018:53:27%20GMT	https://fornet.net.br/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/imagesloaded.mineda1.js	(from https://fornet.net.br/)
18:59:57	24138/24138	---M--	200	added ('OK')	application/javascript	date:Sat,%2013%20Jun%202020%2018:53:27%20GMT	https://fornet.net.br/wp-includes/js/masonry.min.js?ver=4.2.2	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/masonry.min3a05.js	(from https://fornet.net.br/)
18:59:57	1819/1819	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202016%2018:55:30%20GMT	https://fornet.net.br/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/jquery/jquery.masonry.minef70.js	(from https://fornet.net.br/)
18:59:57	8415/8415	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/lib/wow/wow.min.js?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/lib/wow/wow.min30ad.js	(from https://fornet.net.br/)
18:59:57	10913/10913	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/js/acf-repeater.min.js?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/js/acf-repeater.min30ad.js	(from https://fornet.net.br/)
18:59:58	373368/373368	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/lib/datatables/datatables.min.js?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/lib/datatables/datatables.min30ad.js	(from https://fornet.net.br/)
18:59:58	5299/5299	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2002:38:32%20GMT	https://fornet.net.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.9.1	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.mina560.js	(from https://fornet.net.br/)
18:59:58	5014/5014	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.10.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min12f9.js	(from https://fornet.net.br/)
